Data;Endereco;Sentido;referencia;Hora_inicio;Hora_fim;Classificacao
01/01/2021;MARGINAL TIETE;A SENNA;PTE CASA VERDE;16:06;18:58;TRANSITAVEL
12/01/2021;AV NSRA DO O;AMBOS;R NELSON FRANCISCO;13:42;15:08;TRANSITAVEL
12/01/2021;R JOAO ROMEIRO;ÚNICO;AV ENG CAETANO ALVARES;14:19;14:58;TRANSITAVEL
12/01/2021;AV ORDEM E PROGRESSO;AMBOS;R SAMARITA;14:20;16:28;TRANSITAVEL
12/01/2021;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;14:20;16:24;TRANSITAVEL
12/01/2021;MARGINAL TIETE;A SENNA;PTE DO LIMAO;14:34;15:37;TRANSITAVEL
12/01/2021;AV ENG CAETANO ALVARES;AMBOS;R ZILDA;14:54;16:50;INTRANSITAVEL
21/01/2021;AV ANTONIO MUNHOZ BONILHA;AMBOS;ALTURA DO NUMERO 94;16:18;17:19;INTRANSITAVEL
21/01/2021;R NELSON FRANCISCO;AMBOS;AV NSRA DO O;16:20;17:06;TRANSITAVEL
25/01/2021;AV ANTONIO MUNHOZ BONILHA;AMBOS;ALTURA DO NUMERO 94;20:30;21:10;INTRANSITAVEL
25/01/2021;AV ORDEM E PROGRESSO;LIMAO;PC DEL AMOROSO NETO;20:38;02:35;INTRANSITAVEL
25/01/2021;AV OLAVO FONTOURA;AMBOS;PTE CASA VERDE;20:47;22:06;INTRANSITAVEL
28/01/2021;MARGINAL TIETE;A SENNA;PTE DO LIMAO;03:06;04:22;TRANSITAVEL
28/01/2021;AV ORDEM E PROGRESSO;AMBOS;R SAMARITA;03:08;03:47;INTRANSITAVEL
28/01/2021;AV ORDEM E PROGRESSO;AMBOS;PC DEL AMOROSO NETO;03:35;03:43;INTRANSITAVEL
11/02/2021;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;14:53;15:10;INTRANSITAVEL
06/03/2021;R NELSON FRANCISCO;AMBOS;AV NSRA DO O;18:43;19:42;TRANSITAVEL
06/03/2021;AV ANTONIO MUNHOZ BONILHA;AMBOS;AV NSRA DO O;18:47;20:02;TRANSITAVEL
06/03/2021;AV ORDEM E PROGRESSO;AMBOS;R SAMARITA;18:51;19:34;INTRANSITAVEL
07/03/2021;AV ANTONIO MUNHOZ BONILHA;CENTRO-BAIRRO;ALTURAR DO NUMERO 80;07:34;08:36;TRANSITAVEL
11/03/2021;MARGINAL TIETE;A SENNA;PTE CASA VERDE;16:41;17:54;TRANSITAVEL
11/03/2021;AV NSRA DO O;AMBOS;AV ANTONIO MUNHOZ BONILHA;16:52;16:57;INTRANSITAVEL
19/03/2021;AV NSRA DO O;AMBOS;R DR FRANCISCO DE PAULA CANDIDO;14:27;15:00;TRANSITAVEL
